periodo,banco,sector,creditos_miles,fecha
2021-12,BanBif,Comercio,1726102.17,2021-12-01
2021-12,Scotiabank,Comercio,8537393.6,2021-12-01
2021-12,Citibank,Comercio,349888.06,2021-12-01
2021-12,Interbank,Comercio,4991046.21,2021-12-01
2021-12,Mibanco,Comercio,6447387.16,2021-12-01
2021-12,GNB,Comercio,179395.14,2021-12-01
2021-12,Falabella,Comercio,0.0,2021-12-01
2021-12,Santander,Comercio,840035.05,2021-12-01
2021-12,Ripley,Comercio,0.0,2021-12-01
2021-12,Alfin Banco,Comercio,0.0,2021-12-01
2021-12,ICBC,Comercio,136869.71,2021-12-01
2021-12,Bank of China,Comercio,20000.0,2021-12-01
2021-12,BBVA,Hoteles y Restaurantes,1722812.88,2021-12-01
2021-12,Comercio,Hoteles y Restaurantes,155.0,2021-12-01
2021-12,BCP,Hoteles y Restaurantes,2036782.1,2021-12-01
2021-12,Pichincha,Hoteles y Restaurantes,26433.3,2021-12-01
2021-12,BanBif,Hoteles y Restaurantes,102935.45,2021-12-01
2021-12,Scotiabank,Hoteles y Restaurantes,448347.12,2021-12-01
2021-12,Citibank,Hoteles y Restaurantes,212.74,2021-12-01
2021-12,Interbank,Hoteles y Restaurantes,425545.29,2021-12-01
2021-12,Mibanco,Hoteles y Restaurantes,819995.17,2021-12-01
2021-12,GNB,Hoteles y Restaurantes,2254.78,2021-12-01
2021-12,Falabella,Hoteles y Restaurantes,0.0,2021-12-01
2021-12,Santander,Hoteles y Restaurantes,243625.63,2021-12-01
2021-12,Ripley,Hoteles y Restaurantes,0.0,2021-12-01
2021-12,Alfin Banco,Hoteles y Restaurantes,0.0,2021-12-01
2021-12,ICBC,Hoteles y Restaurantes,0.0,2021-12-01
2021-12,Bank of China,Hoteles y Restaurantes,0.0,2021-12-01
2021-12,BBVA,"Transporte, Almacenamiento y Comunicaciones",6657607.45,2021-12-01
2021-12,Comercio,"Transporte, Almacenamiento y Comunicaciones",17079.12,2021-12-01
2021-12,BCP,"Transporte, Almacenamiento y Comunicaciones",5953406.7,2021-12-01
2021-12,Pichincha,"Transporte, Almacenamiento y Comunicaciones",374116.04,2021-12-01
2021-12,BanBif,"Transporte, Almacenamiento y Comunicaciones",390708.14,2021-12-01
2021-12,Scotiabank,"Transporte, Almacenamiento y Comunicaciones",3445515.83,2021-12-01
2021-12,Citibank,"Transporte, Almacenamiento y Comunicaciones",28976.18,2021-12-01
